date,close,open,high,low,volume,change,sequence,sq
2014年4月4日,"2,058.83","2,037.55","2,060.10","2,035.22",8.32B,0.74%,428.00,62.00
2014年4月8日,"2,098.28","2,054.53","2,102.45","2,052.90",13.34B,1.92%,427.00,63.00
2014年4月9日,"2,105.24","2,100.65","2,108.75","2,095.64",10.53B,0.33%,426.00,64.00
2014年4月10日,"2,134.30","2,105.88","2,146.67","2,098.08",15.68B,1.38%,425.00,65.00
2014年4月11日,"2,130.54","2,130.37","2,138.65","2,120.18",13.18B,-0.18%,424.00,66.00
2014年4月14日,"2,131.54","2,127.41","2,134.43","2,116.61",10.21B,0.05%,423.00,67.00
2014年4月15日,"2,101.60","2,125.90","2,125.90","2,098.15",10.75B,-1.40%,422.00,68.00
2014年4月16日,"2,105.12","2,097.21","2,112.05","2,092.16",8.94B,0.17%,421.00,69.00
2014年4月17日,"2,098.88","2,108.95","2,110.72","2,095.71",8.99B,-0.30%,420.00,70.00
2014年4月18日,"2,097.75","2,091.48","2,099.64","2,081.18",8.82B,-0.05%,419.00,71.00
2014年4月21日,"2,065.83","2,085.98","2,103.08","2,065.23",9.64B,-1.52%,418.00,72.00
2014年4月22日,"2,072.83","2,062.79","2,073.66","2,047.33",9.87B,0.34%,417.00,73.00
2014年4月23日,"2,067.38","2,068.08","2,076.35","2,059.11",7.85B,-0.26%,416.00,74.00
2014年4月24日,"2,057.03","2,064.16","2,075.76","2,056.19",7.82B,-0.50%,415.00,75.00
2014年4月25日,"2,036.52","2,060.54","2,065.64","2,035.57",9.30B,-1.00%,414.00,76.00
2014年4月28日,"2,003.49","2,033.34","2,035.99","2,000.14",8.98B,-1.62%,413.00,77.00
2014年4月29日,"2,020.34","2,001.90","2,021.68","1,997.64",7.62B,0.84%,412.00,78.00
2014年4月30日,"2,026.36","2,020.44","2,029.54","2,016.58",7.45B,0.30%,411.00,79.00
2014年5月5日,"2,027.35","2,022.18","2,028.96","2,007.35",7.99B,0.05%,410.00,80.00
2014年5月6日,"2,028.04","2,024.26","2,038.70","2,021.49",7.46B,0.03%,409.00,81.00
2014年5月7日,"2,010.08","2,023.15","2,024.63","2,008.45",7.44B,-0.89%,408.00,82.00
2014年5月8日,"2,015.27","2,006.85","2,036.94","2,005.69",7.79B,0.26%,407.00,83.00
2014年5月9日,"2,011.13","2,016.50","2,020.45","2,001.30",7.62B,-0.21%,406.00,84.00
2014年5月12日,"2,052.87","2,022.93","2,055.51","2,016.64",11.57B,2.08%,405.00,85.00
2014年5月13日,"2,050.73","2,055.08","2,061.06","2,043.55",9.72B,-0.10%,404.00,86.00
2014年5月14日,"2,047.91","2,049.27","2,056.57","2,042.74",7.20B,-0.14%,403.00,87.00
2014年5月15日,"2,024.97","2,044.38","2,047.32","2,022.86",7.58B,-1.12%,402.00,88.00
2014年5月16日,"2,026.50","2,023.60","2,027.76","2,012.69",6.64B,0.08%,401.00,89.00
2014年5月19日,"2,005.18","2,023.01","2,023.27","1,996.01",6.53B,-1.05%,400.00,90.00
2014年5月20日,"2,008.12","2,011.85","2,018.16","2,002.76",6.13B,0.15%,399.00,91.00
2014年5月21日,"2,024.95","2,001.31","2,025.19","1,991.06",6.18B,0.84%,398.00,92.00
2014年5月22日,"2,021.29","2,023.15","2,041.96","2,018.88",7.47B,-0.18%,397.00,93.00
2014年5月23日,"2,034.57","2,020.11","2,034.57","2,017.74",6.35B,0.66%,396.00,94.00
2014年5月26日,"2,041.48","2,042.03","2,045.38","2,035.09",7.03B,0.34%,395.00,95.00
2014年5月27日,"2,034.57","2,039.79","2,044.15","2,032.84",6.76B,-0.34%,394.00,96.00
2014年5月28日,"2,050.23","2,034.56","2,052.66","2,029.34",8.13B,0.77%,393.00,97.00
